HNO3_190_Hz,HNO3_191_Hz,CalKey,IH20_145_Hz,I_127_Hz,time,N2ZeroKey,ScrubberZeroKey
12235.58262,739.1205989,0,1388395.023,2718275.642,3648065172,0,0
12195.35246,879.4966154,0,1373492.813,2699966.431,3648065173,0,0
11874.8039,874.060858,0,1357791.328,2669834.9,3648065174,0,0
12288.48472,888.9836259,0,1398688.602,2724883.461,3648065175,0,0
12185.74867,704.08592,0,1373073.769,2713716.507,3648065176,0,0
12203.24188,834.6526884,0,1377354.145,2712557.983,3648065177,0,0
11926.74935,669.0507289,0,1389990.044,2724002.838,3648065178,0,0
12073.45799,891.2223391,0,1380351.257,2725020.599,3648065179,0,0
12149.68339,899.589248,0,1365034.199,2712853.813,3648065180,0,0
12245.73553,813.2352494,0,1384552.956,2708750.534,3648065181,0,0
12092.10157,836.8231356,0,1380799.198,2720136.261,3648065182,0,0
12427.5282,896.4835666,0,1398722.363,2742692.566,3648065183,0,0
12184.48132,914.2717347,0,1365567.875,2696369.553,3648065184,0,0
12213.48941,881.0153231,0,1371700.287,2699590.302,3648065185,0,0
12514.25147,715.8295251,0,1376552.01,2685920.334,3648065186,0,0
12034.99436,801.0040037,0,1365332.413,2701136.78,3648065187,0,0
11693.69668,913.3583866,0,1360220.242,2744191.551,3648065188,0,0
11830.01399,854.0022187,0,1347069.454,2725567.627,3648065189,0,0
11734.77545,874.4823746,0,1345790.386,2748022.079,3648065190,0,0
11763.13981,823.0764419,0,1357351.208,2755975.151,3648065191,0,0
11969.74739,646.2835707,0,1368205.547,2715713.31,3648065192,0,0
11948.80828,732.6181047,0,1354378.414,2682349.968,3648065193,0,0
12130.03844,802.8359152,0,1379792.595,2729428.291,3648065194,0,0
12220.08765,634.9273957,0,1381755.733,2720267.677,3648065195,0,0
12294.67019,790.545065,0,1377270.317,2720855.522,3648065196,0,0
12081.559,686.5506992,0,1370101.929,2694383.621,3648065197,0,0
12009.2459,881.9240145,0,1382641.315,2724407.387,3648065198,0,0
12149.69829,499.697635,0,1365827.56,2710978.317,3648065199,0,0
11984.20078,842.9838344,0,1373397.541,2734386.253,3648065200,0,0
12175.17853,568.4508942,0,1384317.398,2731914.139,3648065201,0,0
12374.08668,725.7363293,0,1380323.601,2736301.231,3648065202,0,0
11897.66452,641.6693795,0,1371097.946,2706356.621,3648065203,0,0
12207.57663,603.684457,0,1374335.861,2727261.162,3648065204,0,0
12389.71353,590.8322521,0,1390399.647,2727544.403,3648065205,0,0
12331.86945,632.6343864,0,1376023.96,2714833.641,3648065206,0,0
12295.88315,750.5510468,0,1365323.734,2692667.007,3648065207,0,0
12198.5428,609.9116988,0,1374978.924,2709476.471,3648065208,0,0
12238.49058,597.2540006,0,1371828.365,2707968.712,3648065209,0,0
12039.45875,702.0302117,0,1351888.657,2678636.169,3648065210,0,0
12036.93897,705.7872601,0,1382511.997,2732374.763,3648065211,0,0
12174.30681,857.7427827,0,1371890.163,2728772.926,3648065212,0,0
12092.71103,930.4872714,0,1366963.577,2715402.603,3648065213,0,0
12024.78483,631.6650193,0,1358052.254,2697178.459,3648065214,0,0
12224.08265,828.6930621,0,1379330.635,2728041.077,3648065215,0,0
12403.92104,739.4310553,0,1375820.827,2734428.978,3648065216,0,0
12197.96017,754.7919173,0,1381620.407,2735896.683,3648065217,0,0
12066.85528,845.02073,0,1370854.282,2709934.807,3648065218,0,0
11886.78965,650.5434401,0,1349987.221,2686782.837,3648065219,0,0
12196.289,736.8862629,0,1366677.952,2727506.065,3648065220,0,0
12073.48183,785.0254886,0,1369696.522,2745241.547,3648065221,0,0
12065.6006,740.1256822,0,1374479.961,2741191.864,3648065222,0,0
12006.8118,799.0090176,0,1382913.208,2774224.472,3648065223,0,0
12044.0051,952.5046684,0,1354281.712,2720780.182,3648065224,0,0
11781.25888,614.982238,0,1352605.247,2705855.37,3648065225,0,0
12074.21795,894.1263892,0,1370787.811,2718318.367,3648065226,0,0
12137.99492,656.3410163,0,1370471.954,2721177.292,3648065227,0,0
12080.44887,715.3922692,0,1384760.666,2746007.729,3648065228,0,0
12083.64591,975.7271037,0,1371125.412,2726260.185,3648065229,0,0
11901.31307,893.9540945,0,1378774.834,2736635.399,3648065230,0,0
12285.91651,714.821741,0,1387400.341,2740999.222,3648065231,0,0
12132.63348,579.5828067,0,1377579.498,2714652.252,3648065232,0,0
12048.83009,687.2599479,0,1366990.662,2708128.738,3648065233,0,0
12322.52121,831.3046768,0,1373784.924,2710155.106,3648065234,0,0
12399.39705,683.5116073,0,1376175.499,2728908.73,3648065235,0,0
11972.24036,567.7633453,0,1374319.172,2721127.319,3648065236,0,0
11986.45979,580.310449,0,1380124.474,2745361.328,3648065237,0,0
12100.28157,709.0322673,0,1376434.04,2739188.576,3648065238,0,0
12261.23795,872.2800761,0,1382094.288,2755494.881,3648065239,0,0
12026.18256,648.172386,0,1370077.896,2731639.099,3648065240,0,0
12156.63403,686.9934034,0,1375639.153,2757375.526,3648065241,0,0
11961.00339,789.441634,0,1369469.929,2733934.021,3648065242,0,0
11941.81293,633.6132996,0,1364032.65,2722237.968,3648065243,0,0
11832.10835,836.6634138,0,1368959.618,2741711.617,3648065244,0,0
11895.15218,800.9507321,0,1367827.129,2745541.573,3648065245,0,0
11800.55439,788.0835794,0,1362167.072,2716791.534,3648065246,0,0
11652.28263,780.9579372,0,1359725.666,2725279.427,3648065247,0,0
11756.87909,488.7332208,0,1380338.097,2761224.365,3648065248,0,0
11610.51169,900.9638801,0,1362934.875,2726155.472,3648065249,0,0
11703.57168,694.8320195,0,1367249.393,2723454.094,3648065250,0,0
11928.57698,819.9394681,0,1367027.187,2734836.578,3648065251,0,0
11607.46738,796.0130461,0,1356079.292,2736281.395,3648065252,0,0
11644.32615,849.0845561,0,1362867.165,2732564.735,3648065253,0,0
11685.32073,767.7682675,0,1367803.001,2719416.046,3648065254,0,0
11901.52839,683.8865578,0,1365553.665,2723487.091,3648065255,0,0
11727.86951,795.2004671,0,1387562.561,2775449.753,3648065256,0,0
12000.29626,801.8169552,0,1390039.253,2766618.919,3648065257,0,0
11842.07201,531.3123111,0,1374099.636,2730056,3648065258,0,0
11722.20185,739.1834632,0,1358226.871,2699375.916,3648065259,0,0
11824.5244,623.6243062,0,1354115.486,2712446.022,3648065260,0,0
11885.82405,744.0079004,0,1377385.998,2741163.063,3648065261,0,0
11821.84815,867.829565,0,1372824.574,2736610.222,3648065262,0,0
11897.00812,819.5177652,0,1381793.499,2762348.366,3648065263,0,0
11719.74465,736.2161763,0,1355632.305,2716142.654,3648065264,0,0
11980.64685,816.3966238,0,1364774.418,2726494.408,3648065265,0,0
11967.85495,585.041102,0,1375710.869,2712455.368,3648065266,0,0
12297.42095,498.8503642,0,1387381.649,2716249.847,3648065267,0,0
11974.30044,800.8243516,0,1370614.052,2705683.136,3648065268,0,0
12293.83945,516.2526853,0,1386678.219,2712521.744,3648065269,0,0
12336.56034,340.4655959,0,1380201.149,2725020.981,3648065270,0,0
12380.12314,701.7510012,0,1391862.679,2730570.793,3648065271,0,0
12581.95192,757.1963128,0,1393546.486,2729119.682,3648065272,0,0
12474.88558,983.2011536,0,1389862.347,2700037.766,3648065273,0,0
12420.83684,632.6293573,0,1391989.803,2704284.096,3648065274,0,0
12550.81445,610.5086766,0,1404561.329,2729974.556,3648065275,0,0
12233.01291,634.6769165,0,1385889.912,2753790.855,3648065276,0,0
12163.4908,758.6380932,0,1365863.132,2735234.261,3648065277,0,0
12634.95684,632.5215567,0,1402400.208,2745624.352,3648065278,0,0
12333.17852,822.6400241,0,1378798.866,2731645.012,3648065279,0,0
12137.31468,842.2688581,0,1361978.436,2716767.12,3648065280,0,0
12394.32022,795.8845235,0,1386297.321,2742873.573,3648065281,0,0
12031.45012,728.2594219,0,1382182.217,2755895.424,3648065282,0,0
12188.98147,723.0323739,0,1395652.294,2749058.723,3648065283,0,0
