time,original_signal,deconvolved_signal
3648065172.47,739.1205989,2014.7424867438594
3648065173.47,879.4966154,2929.0134857427383
3648065174.47,874.060858,2262.623869210901
3648065175.47,888.9836259,1945.683417472739
3648065176.47,704.08592,1177.129226835421
3648065177.47,834.6526884,1322.9957893165436
3648065178.47,669.0507289,865.5038393871778
3648065179.47,891.2223391,1435.6988973255716
3648065180.47,899.589248,1356.898741913843
3648065181.47,813.2352494,1049.9354244094393
3648065182.47,836.8231356,1054.045822362996
3648065183.47,896.4835666,1240.8834261073746
3648065184.47,914.2717347,1224.6331279475046
3648065185.47,881.0153231,1032.512851241116
3648065186.47,715.8295251,558.7757681222545
3648065187.47,801.0040037,898.7029741371366
3648065188.47,913.3583866,1208.0591739191404
3648065189.47,854.0022187,1072.128154016408
3648065190.47,874.4823746,1046.225005502798
3648065191.47,823.0764419,846.7710862764536
3648065192.47,646.2835707,359.62292429299305
3648065193.47,732.6181047,734.3893546084171
3648065194.47,802.8359152,870.6001331124631
3648065195.47,634.9273957,566.2562233045695
3648065196.47,790.545065,871.1818195827527
3648065197.47,686.5506992,829.5955761695365
3648065198.47,881.9240145,1065.4566164564583
3648065199.47,499.697635,290.51687323259665
3648065200.47,842.9838344,996.5842869966314
3648065201.47,568.4508942,472.7214314192029
3648065202.47,725.7363293,777.1371098776431
3648065203.47,641.6693795,632.5293339989931
3648065204.47,603.684457,486.1168557340244
3648065205.47,590.8322521,516.5488966840115
3648065206.47,632.6343864,723.7129113750934
3648065207.47,750.5510468,1009.9658309574629
3648065208.47,609.9116988,588.222096222494
3648065209.47,597.2540006,574.2875772845979
3648065210.47,702.0302117,885.8248359288806
3648065211.47,705.7872601,961.4108923275734
3648065212.47,857.7427827,1392.7214034883382
3648065213.47,930.4872714,1373.5737032607178
3648065214.47,631.6650193,551.9723065871542
3648065215.47,828.6930621,991.8682134573825
3648065216.47,739.4310553,791.0848833232637
3648065217.47,754.7919173,856.4827505634681
3648065218.47,845.02073,1003.5364477794436
3648065219.47,650.5434401,513.3513048406163
3648065220.47,736.8862629,739.5638135364845
3648065221.47,785.0254886,929.9792092982858
3648065222.47,740.1256822,779.6436395970951
3648065223.47,799.0090176,1056.3209011866572
3648065224.47,952.5046684,1254.0273583520038
3648065225.47,614.982238,464.10335841616774
3648065226.47,894.1263892,1041.2583094319425
3648065227.47,656.3410163,493.96675788374426
3648065228.47,715.3922692,724.1329144292157
3648065229.47,975.7271037,1481.2384333725893
3648065230.47,893.9540945,1144.830402604675
3648065231.47,714.821741,487.03442476166856
3648065232.47,579.5828067,155.0965844809177
3648065233.47,687.2599479,613.3198118942183
3648065234.47,831.3046768,1030.424835228765
3648065235.47,683.5116073,569.9036847715446
3648065236.47,567.7633453,228.2907607095557
3648065237.47,580.310449,369.5799849259842
3648065238.47,709.0322673,895.2459618752879
3648065239.47,872.2800761,1254.381000565466
3648065240.47,648.172386,597.3481894503179
3648065241.47,686.9934034,698.973266187849
3648065242.47,789.441634,930.3030976964152
3648065243.47,633.6132996,589.7118829757833
3648065244.47,836.6634138,1107.7026803485971
3648065245.47,800.9507321,1002.7580600114964
3648065246.47,788.0835794,935.4670334240651
3648065247.47,780.9579372,697.5278699392804
3648065248.47,488.7332208,161.21930575576218
3648065249.47,900.9638801,1150.1921032193973
3648065250.47,694.8320195,761.8597205843271
3648065251.47,819.9394681,968.45521563183
3648065252.47,796.0130461,973.2728759867482
3648065253.47,849.0845561,1020.1730559023554
3648065254.47,767.7682675,743.7831538665881
3648065255.47,683.8865578,520.9809494163826
3648065256.47,795.2004671,890.7148028431355
3648065257.47,801.8169552,782.908850233755
3648065258.47,531.3123111,153.2338171793002
3648065259.47,739.1834632,667.4784559091127
3648065260.47,623.6243062,511.04932495799625
3648065261.47,744.0079004,880.0350967300452
3648065262.47,867.829565,1237.9242120314398
3648065263.47,819.5177652,1002.6061751137348
3648065264.47,736.2161763,748.0978446484421
3648065265.47,816.3966238,858.3688225985105
3648065266.47,585.041102,162.36839832369563
3648065267.47,498.8503642,124.54679215006414
3648065268.47,800.8243516,900.2551003075728
3648065269.47,516.2526853,166.82054570406993
3648065270.47,340.4655959,-0.5671092061114169
3648065271.47,701.7510012,840.3224239948119
3648065272.47,757.1963128,1275.3027458457436
3648065273.47,983.2011536,1577.2501247038883
3648065274.47,632.6293573,550.6926169436105
3648065275.47,610.5086766,335.8529046883282
3648065276.47,634.6769165,577.8409017413246
3648065277.47,758.6380932,853.5809849237339
3648065278.47,632.5215567,623.4090824240093
3648065279.47,822.6400241,1102.6027341061333
3648065280.47,842.2688581,1154.8849368463966
3648065281.47,795.8845235,906.618370063384
3648065282.47,728.2594219,661.7765465148203
3648065283.47,723.0323739,719.9241098946916
3648065284.47,892.4459107,1174.9053747515536
3648065285.47,834.9109441,982.0508072455395
3648065286.47,786.2101309,792.3481288193481
3648065287.47,817.5516501,873.320660051802
3648065288.47,829.9384266,918.2510997681162
3648065289.47,855.746679,978.3051507052235
3648065290.47,851.6291156,928.5558563163594
3648065291.47,827.444531,875.3555020527156
3648065292.47,876.3613179,946.9304502501193
3648065293.47,779.8706647,683.0715219099471
