A0,A#0,B0,C0,C#0,D0,D#0,E0,F0,F#0,G0,G#0,A1,A#1,B1,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A2,A#2,B2,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7,B7
1611.54,2019.12,2390.46,2495.63,3340.62,1652.6,1661.47,1999.06,900.48,1797.81,1330.52,1575.89,1417.53,1588.25,812.174,678.298,1292.2,1137.93,1447.63,1290.76,1196.23,2167.47,2010.22,3120.03,1454.35,1190.84,784.276,523.508,805.573,488.14,530.554,719.929,553.863,473.149,470.134,647.812,448.182,248.349,275.063,260.616,258.331,173.757,115.142,179.624,173.741,113.74,109.384,105.834,98.839,86.9761,89.5547,77.3397,54.8628,60.6979,61.0713,65.6292,67.1718,56.3187,56.5986,59.8151,61.2822,58.8214,52.6633,50.4639,51.8713,49.663,48.3931,44.7793,48.4119,47.8829,42.9437,42.2852,39.6468,37.9872,36.2534,36.4623,35.8773,32.3404,31.36,29.9944,28.4706,29.7595,27.2498,25.3564,25.7132,23.9132,
3033.85,3203.49,3314.15,4136.09,1895.16,1866.94,3995.61,2879.6,2892.82,1577.95,1154.34,998.241,927.138,1087.1,1045.59,603.822,969.609,705.668,1401.3,1058.35,761.764,1952.88,1940.21,3052.07,1735.19,1554.06,546.989,437.131,359.8,204.772,680.364,1100.64,835.144,429.679,390.774,621.625,463.708,313.71,221.248,301.185,207.53,166.712,105.872,131.9,155.626,117.525,116.691,104.246,80.3093,114.603,84.8841,74.8688,70.1375,71.8062,70.4011,68.8752,60.3898,56.4122,52.194,65.2721,56.0397,57.9714,52.2864,54.2598,48.321,50.5285,47.2992,45.3633,47.3608,44.61,44.3681,44.6801,39.3722,40.9504,41.8994,37.7622,37.7387,35.4157,33.9958,30.0492,28.9557,28.2029,27.9368,28.3001,26.3054,25.4149,
4587.57,2427.93,1178.55,1343.42,1574.29,2163.31,982.549,1005.38,1063.94,1013.07,784.619,989.453,800.454,839.285,904.402,391.984,598.273,1141.79,1201.94,1104.02,964.331,1603.4,2721.2,5681.65,1214.11,1376.54,804.585,474.893,755.396,317.292,695.129,707.742,821.487,302.239,369.268,653.787,566.781,294.143,233.644,305.188,261.509,240.346,153.23,109.113,168.453,104.498,95.6807,132.833,99.643,109.124,82.0641,71.3022,65.9063,82.0281,68.1769,55.6735,47.5251,57.3465,49.0643,59.2944,54.4751,56.8511,56.6205,46.8345,54.6683,47.6861,44.5662,46.5768,50.1934,46.5345,40.5896,45.4151,41.873,41.2992,34.846,39.8856,34.7144,34.5729,35.7938,33.3256,30.0822,33.2453,33.2751,29.329,28.5679,29.2089,
3305.81,3982.17,2700.1,2183.27,1825.04,1546.75,2261.2,2317.09,2316.57,1567.03,521.209,653.614,1246.04,1503.56,945.225,841.864,569.882,752.908,1195.84,878.368,637.473,2825,2833.78,4241.78,2522.47,1731.86,807.579,450.834,563.793,318.694,347.014,595.848,553.618,485.398,337.137,650.881,757.55,295.824,295.868,300.553,340.525,271.615,175.567,145.381,162.372,123.069,120.31,121.62,82.8376,85.6356,74.9415,68.5764,56.9203,74.1377,57.0261,63.4477,59.266,55.0392,59.9528,51.6357,52.7424,55.3594,50.6686,46.9322,45.0679,48.3567,47.2492,47.4561,43.9955,46.0419,41.7451,45.3441,43.4479,43.1447,38.1972,41.4695,36.628,37.3941,39.3271,35.1632,32.8208,28.8497,29.7685,30.0655,29.0997,26.8882,
2108.51,1069.35,1639.38,1578.79,2620.44,2256.94,1146.51,904.187,1015.64,1479.95,943.462,1371.43,1659.11,1276.68,910.149,712.235,567.254,785.762,1393.12,1040.33,835.396,2065.75,2273.88,6111.42,2883.68,3468.34,1118.03,788.965,886.907,460.196,593.314,654.828,622.289,544.815,531.706,784.346,553.101,423.619,309.151,281.226,278.006,231.205,204.719,171.122,196.001,133.705,89.7007,123.565,95.3011,98.3351,64.2433,80.1196,70.546,69.5292,64.5467,69.7692,60.2034,60.1666,50.6797,60.6851,54.9349,48.1272,52.7501,49.063,52.2079,48.3837,39.4281,42.6925,50.8649,43.6405,44.3376,45.5255,41.7754,40.9653,38.8716,41.0278,39.5878,35.4326,38.3518,39.1717,34.3337,31.9057,30.646,29.7001,30.0766,29.0915,
3084.77,2243.69,2959.53,2150.08,1449.29,2736.52,1624.8,1170.25,1332.87,1985.18,1229.07,851.672,1629.74,1195.97,673.903,559.05,580.983,696.755,1445.24,1011.59,642.952,1749.87,2506.78,2182.77,5656.72,3484.45,667.682,526.702,638.364,456.161,459.577,742.603,502.358,445.527,329.764,564.461,1073.18,604.426,437.664,305.639,210.183,231.732,153.658,208.576,185.931,109.236,104.587,96.6007,90.2547,102.727,91.5099,69.2373,66.0619,86.0113,69.3528,57.9905,61.7942,55.1219,57.362,46.74,59.3072,56.7557,53.4797,48.7297,51.1366,51.3362,51.5782,49.3958,47.3683,48.7968,47.2362,41.9454,44.9137,42.3457,39.1275,43.6453,40.5041,37.2138,37.2226,34.5141,34.6389,32.8618,30.9329,32.2031,30.0365,28.6835,
1102.71,1229.62,1694.57,1035.28,1086.17,1820.77,1259.22,1372.38,901.606,429.006,436.281,597.647,1725.46,757.856,784.05,646.504,542.377,887.147,861.503,795.538,784.54,1977.73,1916.47,2856.64,5925.39,1519.31,838.085,654.38,742.892,248.627,373.744,851.149,374.679,418.933,258.963,704.233,1292.37,401.322,343.097,288.036,333.901,349.658,157.752,166.6,159.8,179.516,110.38,107.886,109.46,82.2878,87.3232,82.3571,54.2236,84.766,64.8904,58.1797,62.1727,52.9496,60.0069,58.5798,55.0079,54.1592,57.0124,54.4146,51.8626,47.902,45.1009,54.0619,50.8921,45.7731,45.9631,45.2859,40.2518,43.0455,43.8762,35.007,35.6336,38.0846,36.2944,34.9585,37.3206,30.8676,31.786,30.9824,28.7536,26.9473,
2487.3,3268.5,3002.53,2119.35,1105.79,1630.46,1820.85,1577.3,1331.35,1253.51,713.664,676.272,940.824,592.716,781.297,405.922,978.873,820.612,748.559,808.102,907.403,2094.35,1865.84,4034.02,5433.38,1299.14,494.836,637.66,430.382,512.973,629.229,672.377,794.393,290.116,265.85,647.162,1351.75,346.364,257.281,348.717,370.446,304.778,166.888,86.671,127.635,181.976,105.711,116.915,122.2,75.839,74.3445,76.8593,62.0749,81.9819,54.9262,68.1825,50.1982,60.1314,52.4384,64.6112,55.4131,53.0551,54.3895,42.534,52.7695,47.8987,46.3271,42.5738,42.9205,43.3267,44.1168,46.8051,40.9947,41.5211,41.7118,39.1348,40.6513,41.3901,41.0881,34.6739,33.641,33.1411,32.1946,29.465,30.8551,29.7694,
1854.88,1896.3,1398.46,1395.62,1956.6,1075.66,1578,1378.67,741.17,882.17,532.607,567.315,1954.17,624.959,853.346,557.829,281.645,774.242,686.063,640.276,539.766,1206.18,2183.93,1966.58,3373.73,1117.82,626,664.652,426.228,308.372,509.8,774.12,335.288,435.994,251.723,603.856,1127.11,369.131,315.94,216.311,159.158,283.131,146.086,113.252,124.77,129.248,108.587,90.8838,129.017,99.9579,79.9768,63.6742,55.222,74.9481,64.5924,69.0639,58.3507,52.8766,60.0629,56.6572,55.0038,59.2615,49.1025,49.6855,50.7601,44.8585,50.2296,44.3375,47.9293,47.0883,42.9698,41.8185,40.4163,40.9736,42.6582,38.7323,37.8774,34.5476,33.969,34.1845,31.0645,29.3699,26.5392,27.6032,27.374,26.5992,
633.336,429.772,1226.87,362.176,500.198,656.48,741.059,416.755,865.202,747.082,585.555,537.333,676.498,494.303,447.138,214.175,303.692,457.223,659.598,513.942,395.511,875.924,1014.44,1206.76,2917.73,849.952,496.499,365.651,343.571,264.057,340.238,672.902,339.731,280.898,259.415,406.581,798.332,239.462,181.141,178.958,185.201,215.571,147.875,116.966,131.404,108.648,92.6275,118.868,92.689,85.2015,105.36,75.6565,68.0237,77.3263,74.0577,60.9121,57.6678,56.5056,58.0287,57.8586,59.5442,63.0785,58.2559,49.6551,51.5459,47.4503,49.8317,45.6455,48.1468,40.7631,41.0191,41.3941,39.2571,36.9594,36.8677,33.5615,32.8423,32.4967,31.4917,30.3655,28.33,27.2592,27.8044,27.0186,24.4065,24.217,
