A0,A#0,B0,C0,C#0,D0,D#0,E0,F0,F#0,G0,G#0,A1,A#1,B1,C1,C#1,D1,D#1,E1,F1,F#1,G1,G#1,A2,A#2,B2,C2,C#2,D2,D#2,E2,F2,F#2,G2,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7
238.73763,153.86586,646.52789,366.32962,189.14714,204.67557,207.13588,248.60974,344.81622,378.93976,215.00008,195.84067,501.25302,754.7417,576.55499,473.9545,337.11157,319.03824,315.38406,324.05649,856.15576,305.91031,241.95425,269.29251,290.46912,324.41772,286.52939,132.13197,138.12047,166.91978,217.33113,96.268372,143.69687,193.47719,113.55013,118.1953,146.41873,130.36427,120.96751,101.84765,124.34546,81.171021,95.928246,73.390656,87.857544,72.157936,82.611153,92.619652,76.047081,86.257805,56.898106,68.097275,72.458344,56.678493,67.736877,66.80571,73.795502,56.846035,47.53978,47.291771,41.773235,42.619106,34.93306,36.634834,33.454399,34.55402,32.519955,27.830143,31.190096,31.318247,30.519529,27.407198,28.8759,27.014578,27.172028,26.942324,23.714392,24.084267,22.852531,22.63525,24.032457,23.404776,22.635513,22.780939,21.980085,21.124693
237.02425,86.566498,585.45111,244.14331,109.37755,262.42047,201.57047,225.44283,268.90573,226.98021,238.00453,225.2379,374.44095,806.7381,932.70624,867.59387,297.83707,399.09479,153.12622,154.35902,732.15692,351.50912,231.83261,179.50034,315.47949,175.93695,278.31189,186.24179,109.56943,136.99605,227.42169,114.81089,158.38094,167.62378,87.892258,126.99831,178.7791,124.65449,144.42319,95.767113,103.11744,89.17012,106.90635,87.658752,95.238464,80.021187,78.062485,97.115051,66.368607,72.359276,68.651436,65.023415,71.260338,59.648636,57.825706,65.767715,61.576752,51.885002,45.31144,45.324123,46.12582,40.383533,41.042084,37.688183,37.573734,35.844189,27.749382,31.101185,28.59446,28.365929,27.610325,26.533358,30.123684,24.897232,27.23785,24.77046,24.089895,24.709953,21.930466,22.827337,23.406227,22.940557,22.57642,23.13064,24.977934,22.063297
90.679489,162.65492,712.41077,238.22978,262.44327,241.49623,297.30695,206.85548,213.68925,201.41246,358.84119,216.77313,282.81531,317.88016,305.4191,343.54898,867.44397,560.0423,400.27319,536.01654,535.71545,449.35507,304.28683,255.83981,209.95313,296.6254,288.08438,169.64009,194.498,171.93776,275.00726,123.10991,145.49292,138.90498,161.55774,146.85092,158.42247,90.373894,101.58688,121.42171,130.9222,78.142097,110.34982,100.95971,103.50549,91.17482,84.441475,95.027893,78.431549,84.732674,81.722153,85.20076,77.56852,65.253822,67.326797,55.430317,67.581375,57.576488,51.782112,43.12632,44.884922,45.580467,40.637035,33.628353,35.619541,29.412573,29.584879,28.315046,30.687586,29.751539,28.906279,29.142239,26.799053,28.815741,25.076962,26.798435,26.219193,25.286734,23.736294,26.002558,24.337383,25.074472,23.630493,23.220648,23.439688,23.243542
321.965,374.05667,876.75543,183.87381,111.29312,370.56189,425.87497,377.51263,151.71202,351.29816,347.27542,134.0295,413.91678,286.12137,467.93753,357.58328,309.17557,462.12537,598.17993,462.81873,461.06714,313.50742,285.26636,174.06555,211.57701,182.02612,387.64978,99.881638,143.03416,252.13193,384.62448,157.10411,140.79544,151.21455,98.867302,105.54315,141.4157,110.50187,141.64297,149.89883,128.15874,100.38218,100.17509,88.165855,106.37726,82.746246,97.831123,104.19463,80.983292,84.076866,73.732948,81.922096,77.043282,57.629269,62.854446,61.01226,65.026199,58.376945,51.102921,51.267128,52.577141,46.624485,39.915543,40.544594,38.858589,34.987083,35.985401,32.149197,34.986134,31.736448,33.262646,33.061157,32.473766,30.32127,29.664454,28.882124,28.819172,24.271519,24.62953,26.079111,26.070515,24.627119,23.401699,24.135183,23.483524,22.860069
347.36768,262.01483,927.62988,427.01288,321.04153,249.81888,216.47575,546.02313,329.74451,261.97711,284.62381,188.50578,247.92448,390.83606,524.04736,228.82762,281.82651,239.26442,277.11166,969.77728,614.90808,383.44348,161.11526,236.86542,205.27493,193.14502,225.54564,148.99515,193.35579,119.48434,228.0383,166.67981,144.65424,172.27049,91.928558,88.498177,190.78767,108.63789,117.56264,136.30046,115.03934,94.380302,96.049316,71.556854,80.104202,89.65963,87.290703,80.204735,79.819916,72.986389,64.587273,73.666008,73.140701,54.547207,56.777374,67.06234,55.656315,55.615192,52.499863,46.987713,44.189598,44.638126,41.724297,37.011971,34.374306,34.265606,33.66798,34.837765,29.386673,31.256392,29.430193,32.779964,30.198305,26.877768,26.792183,27.505701,26.857464,24.687862,23.668716,24.915573,24.677671,23.234148,24.914858,24.280987,22.156338,24.863171
99.431107,331.04224,762.49023,255.02139,289.24503,254.74089,288.03946,315.28748,371.81595,242.45091,166.83376,153.12024,276.4715,211.94658,584.34503,231.87413,178.62959,206.22534,280.12271,929.90576,647.18945,328.77771,268.29706,184.05315,210.93814,249.17865,277.26346,166.69408,168.93654,113.74463,213.14575,141.09799,175.11617,165.1599,129.03191,123.51541,149.8197,107.07635,196.33669,127.7146,108.4493,122.9181,108.64986,73.082115,86.079727,83.130257,76.458878,83.740135,71.350288,70.796089,86.535492,62.105244,66.219032,63.546738,53.73859,56.816395,60.402596,53.431,51.156635,41.040146,38.431541,41.777981,34.47554,42.862171,32.586891,37.648197,32.919846,33.283848,30.078215,33.492439,31.208214,32.437908,30.181429,27.197508,26.340916,28.876778,26.708132,24.54154,24.595015,25.137861,24.64016,23.574169,24.006153,23.936798,22.981647,21.843016
303.68753,250.06303,827.18903,325.22821,314.43314,135.93196,398.03586,373.68863,287.7811,210.91487,287.10892,379.07956,642.33112,312.27988,468.08453,266.41147,314.07422,271.19318,309.76862,864.83923,457.28009,496.84427,273.78018,215.68144,144.38168,257.51743,243.52319,136.18645,131.93375,175.3728,217.31375,136.38664,135.60272,198.08038,128.07018,119.23354,152.51141,113.4601,157.77953,120.9316,114.71796,82.076416,111.72138,97.57019,86.681511,85.30249,80.269814,78.427826,83.692711,73.17173,69.42823,58.724445,76.766869,59.572735,58.039318,63.882389,53.767487,50.14185,43.593491,47.52924,39.955364,39.210884,36.468964,38.596695,35.071777,35.876762,31.201538,31.294252,31.26158,30.45418,28.949141,30.80197,27.027185,27.119579,30.366693,27.396706,27.746952,28.923018,26.641277,28.604052,24.958294,26.143183,24.834202,24.277645,24.975262,25.435764
94.649864,392.88779,506.64188,406.36078,219.6442,83.881691,222.07004,129.72931,404.918,210.59589,138.55789,325.58749,910.50708,628.73694,493.45258,266.45825,382.92621,210.87196,292.85571,516.76666,424.46494,352.52911,162.95644,220.64502,334.00238,243.98901,385.09973,132.44664,164.15009,124.19783,254.11279,210.02879,177.30786,211.77534,110.2365,114.76882,168.05191,108.04491,153.99664,102.00212,76.45462,78.102364,100.11664,94.245827,85.172539,100.64561,83.306519,83.824562,77.144966,68.622803,83.956985,65.771858,53.770382,61.711178,51.49942,56.873325,52.181194,52.08506,44.11525,46.631096,41.682163,39.801872,30.670218,37.960503,36.469868,39.457203,32.851372,30.840221,33.193913,28.795593,27.713945,29.038128,29.657467,27.504425,26.713991,29.550365,27.444529,27.791342,25.942766,25.665598,25.691187,24.780132,25.715994,24.470438,23.341133,22.718435
366.36612,394.45428,709.18512,325.45758,231.79706,153.33519,181.17744,152.70784,246.45836,178.43301,223.85876,239.33452,197.0132,485.66794,1277.4336,648.87805,225.96805,309.6593,307.26157,367.23703,170.82875,309.20364,233.18457,163.39497,201.67412,214.47522,325.20767,141.6225,129.30894,169.13728,217.03253,142.04929,128.6593,224.16446,108.0824,120.38325,121.8399,81.619034,142.84134,122.68964,104.25538,98.047096,101.19093,90.715881,94.965286,65.152168,73.003975,76.955719,75.262749,77.136208,89.605988,62.481384,59.739746,59.290916,55.87162,63.401875,53.757217,58.746609,42.193859,45.873566,37.404976,47.185947,37.762253,38.697613,36.536915,34.285679,29.436043,28.429264,29.64633,29.2931,30.355732,29.441433,30.261753,29.069473,26.100672,25.813446,27.170183,26.242027,27.046829,27.631079,25.427969,24.78541,25.914862,26.419096,24.309504,23.727772
355.92523,278.56229,699.01501,388.83908,189.08939,187.20813,292.52963,161.95798,365.54047,245.85474,408.86914,352.97821,334.26059,577.1861,583.98859,279.31174,561.55347,327.98068,366.05713,287.74124,265.75449,333.10791,201.4297,261.30276,156.56583,231.90623,323.12906,183.29271,245.07014,138.81017,265.01901,186.86952,124.79667,153.32382,147.12119,108.62741,146.94029,106.85266,157.23798,99.602333,107.10058,94.403145,96.008919,83.396675,84.513535,100.37419,92.587914,70.216141,69.981049,79.919785,73.8937,89.140968,86.382813,57.705612,53.055378,61.743122,63.042885,49.446445,46.158726,42.261238,51.015404,41.836826,40.225697,42.706253,34.523567,35.709846,33.11092,34.139492,33.830769,37.228748,32.711102,33.992077,30.508381,32.754089,32.850029,29.594578,32.168694,30.287937,25.879456,28.817419,28.7665,28.015251,26.152063,25.7551,25.215385,26.789377
