time,G#2,A3,A#3,B3,C3,C#3,D3,D#3,E3,F3,F#3,G3,G#3,A4,A#4,B4,C4,C#4,D4,D#4,E4,F4,F#4,G4,G#4,A5,A#5,B5,C5,C#5,D5,D#5,E5,F5,F#5,G5,G#5,A6,A#6,B6,C6,C#6,D6,D#6,E6,F6,F#6,G6,G#6,A7,A#7
3747358800,118.1953,146.41873,130.36427,120.96751,101.84765,124.34546,81.171021,95.928246,73.390656,87.857544,72.157936,82.611153,92.619652,76.047081,86.257805,56.898106,68.097275,72.458344,56.678493,67.736877,66.80571,73.795502,56.846035,47.53978,47.291771,41.773235,42.619106,34.93306,36.634834,33.454399,34.55402,32.519955,27.830143,31.190096,31.318247,30.519529,27.407198,28.8759,27.014578,27.172028,26.942324,23.714392,24.084267,22.852531,22.63525,24.032457,23.404776,22.635513,22.780939,21.980085,21.124693
3747358801,126.99831,178.7791,124.65449,144.42319,95.767113,103.11744,89.17012,106.90635,87.658752,95.238464,80.021187,78.062485,97.115051,66.368607,72.359276,68.651436,65.023415,71.260338,59.648636,57.825706,65.767715,61.576752,51.885002,45.31144,45.324123,46.12582,40.383533,41.042084,37.688183,37.573734,35.844189,27.749382,31.101185,28.59446,28.365929,27.610325,26.533358,30.123684,24.897232,27.23785,24.77046,24.089895,24.709953,21.930466,22.827337,23.406227,22.940557,22.57642,23.13064,24.977934,22.063297
3747358802,146.85092,158.42247,90.373894,101.58688,121.42171,130.9222,78.142097,110.34982,100.95971,103.50549,91.17482,84.441475,95.027893,78.431549,84.732674,81.722153,85.20076,77.56852,65.253822,67.326797,55.430317,67.581375,57.576488,51.782112,43.12632,44.884922,45.580467,40.637035,33.628353,35.619541,29.412573,29.584879,28.315046,30.687586,29.751539,28.906279,29.142239,26.799053,28.815741,25.076962,26.798435,26.219193,25.286734,23.736294,26.002558,24.337383,25.074472,23.630493,23.220648,23.439688,23.243542
3747358803,105.54315,141.4157,110.50187,141.64297,149.89883,128.15874,100.38218,100.17509,88.165855,106.37726,82.746246,97.831123,104.19463,80.983292,84.076866,73.732948,81.922096,77.043282,57.629269,62.854446,61.01226,65.026199,58.376945,51.102921,51.267128,52.577141,46.624485,39.915543,40.544594,38.858589,34.987083,35.985401,32.149197,34.986134,31.736448,33.262646,33.061157,32.473766,30.32127,29.664454,28.882124,28.819172,24.271519,24.62953,26.079111,26.070515,24.627119,23.401699,24.135183,23.483524,22.860069
3747358804,88.498177,190.78767,108.63789,117.56264,136.30046,115.03934,94.380302,96.049316,71.556854,80.104202,89.65963,87.290703,80.204735,79.819916,72.986389,64.587273,73.666008,73.140701,54.547207,56.777374,67.06234,55.656315,55.615192,52.499863,46.987713,44.189598,44.638126,41.724297,37.011971,34.374306,34.265606,33.66798,34.837765,29.386673,31.256392,29.430193,32.779964,30.198305,26.877768,26.792183,27.505701,26.857464,24.687862,23.668716,24.915573,24.677671,23.234148,24.914858,24.280987,22.156338,24.863171
3747358805,123.51541,149.8197,107.07635,196.33669,127.7146,108.4493,122.9181,108.64986,73.082115,86.079727,83.130257,76.458878,83.740135,71.350288,70.796089,86.535492,62.105244,66.219032,63.546738,53.73859,56.816395,60.402596,53.431,51.156635,41.040146,38.431541,41.777981,34.47554,42.862171,32.586891,37.648197,32.919846,33.283848,30.078215,33.492439,31.208214,32.437908,30.181429,27.197508,26.340916,28.876778,26.708132,24.54154,24.595015,25.137861,24.64016,23.574169,24.006153,23.936798,22.981647,21.843016
3747358806,119.23354,152.51141,113.4601,157.77953,120.9316,114.71796,82.076416,111.72138,97.57019,86.681511,85.30249,80.269814,78.427826,83.692711,73.17173,69.42823,58.724445,76.766869,59.572735,58.039318,63.882389,53.767487,50.14185,43.593491,47.52924,39.955364,39.210884,36.468964,38.596695,35.071777,35.876762,31.201538,31.294252,31.26158,30.45418,28.949141,30.80197,27.027185,27.119579,30.366693,27.396706,27.746952,28.923018,26.641277,28.604052,24.958294,26.143183,24.834202,24.277645,24.975262,25.435764
3747358807,114.76882,168.05191,108.04491,153.99664,102.00212,76.45462,78.102364,100.11664,94.245827,85.172539,100.64561,83.306519,83.824562,77.144966,68.622803,83.956985,65.771858,53.770382,61.711178,51.49942,56.873325,52.181194,52.08506,44.11525,46.631096,41.682163,39.801872,30.670218,37.960503,36.469868,39.457203,32.851372,30.840221,33.193913,28.795593,27.713945,29.038128,29.657467,27.504425,26.713991,29.550365,27.444529,27.791342,25.942766,25.665598,25.691187,24.780132,25.715994,24.470438,23.341133,22.718435
3747358808,120.38325,121.8399,81.619034,142.84134,122.68964,104.25538,98.047096,101.19093,90.715881,94.965286,65.152168,73.003975,76.955719,75.262749,77.136208,89.605988,62.481384,59.739746,59.290916,55.87162,63.401875,53.757217,58.746609,42.193859,45.873566,37.404976,47.185947,37.762253,38.697613,36.536915,34.285679,29.436043,28.429264,29.64633,29.2931,30.355732,29.441433,30.261753,29.069473,26.100672,25.813446,27.170183,26.242027,27.046829,27.631079,25.427969,24.78541,25.914862,26.419096,24.309504,23.727772
3747358809,108.62741,146.94029,106.85266,157.23798,99.602333,107.10058,94.403145,96.008919,83.396675,84.513535,100.37419,92.587914,70.216141,69.981049,79.919785,73.8937,89.140968,86.382813,57.705612,53.055378,61.743122,63.042885,49.446445,46.158726,42.261238,51.015404,41.836826,40.225697,42.706253,34.523567,35.709846,33.11092,34.139492,33.830769,37.228748,32.711102,33.992077,30.508381,32.754089,32.850029,29.594578,32.168694,30.287937,25.879456,28.817419,28.7665,28.015251,26.152063,25.7551,25.215385,26.789377
3747358810,97.031403,122.41638,128.97893,102.31123,99.472847,103.80006,106.91341,97.324272,79.173599,95.194839,86.813545,76.139542,74.810257,87.753082,77.797409,85.021278,70.684959,64.572342,69.904999,61.960846,59.866879,61.033615,51.564129,50.4132,44.448925,42.883286,36.567207,38.429058,35.504375,36.102989,33.800282,29.372072,31.669067,33.361145,32.709591,34.122646,29.722614,32.325352,30.97047,29.104975,31.50956,28.105469,27.716866,26.529343,29.001312,27.108732,24.944101,26.614317,26.020647,23.814035,24.521334
